,Country,Confirmed,Deaths,Recovered,Active
532,Russia,39251,866,37630.0,755.0
533,Russia,46455,1586,43497.0,1372.0
534,Russia,32390,811,29444.0,2135.0
535,Russia,8527,112,8317.0,98.0
536,Russia,13805,264,13303.0,238.0
537,Russia,21337,300,19012.0,2025.0
538,Russia,1234717,20907,1093738.0,120072.0
539,Russia,281621,6267,232459.0,42895.0
540,Russia,52039,1243,48617.0,2179.0
541,Russia,1127,4,1106.0,17.0
542,Russia,120242,3837,114049.0,2356.0
543,Russia,17113,222,16440.0,451.0
544,Russia,31433,182,30612.0,639.0
545,Russia,44477,1943,40185.0,2349.0
546,Russia,48399,1453,45999.0,947.0
547,Russia,36251,695,34442.0,1114.0
548,Russia,45138,1036,41698.0,2404.0
549,Russia,48223,880,45186.0,2157.0
550,Russia,58721,2540,53121.0,3060.0
551,Russia,45061,739,41874.0,2448.0
552,Russia,38323,432,32892.0,4999.0
553,Russia,96246,4571,87817.0,3858.0
554,Russia,29915,562,28392.0,961.0
555,Russia,450730,14898,420356.0,15476.0
556,Russia,39768,715,36113.0,2940.0
557,Russia,23486,55,22792.0,639.0
558,Russia,65633,2099,62639.0,895.0
559,Russia,64153,1174,61221.0,1758.0
560,Russia,32137,1061,30274.0,802.0
561,Russia,55602,1579,52810.0,1213.0
562,Russia,90704,3585,84601.0,2518.0
563,Russia,33618,566,31963.0,1089.0
564,Russia,21878,514,19311.0,2053.0
565,Russia,33281,447,31921.0,913.0
566,Russia,40854,2109,38261.0,484.0
567,Russia,43185,1118,40508.0,1559.0
568,Russia,37484,621,35938.0,925.0
569,Russia,16038,203,15738.0,97.0
570,Russia,34637,993,31543.0,2101.0
571,Russia,57036,1501,54502.0,1033.0
572,Russia,34171,1230,31807.0,1134.0
573,Russia,60936,1417,58083.0,1436.0
574,Russia,46710,1125,43492.0,2093.0
575,Russia,86857,3096,82239.0,1522.0
576,Russia,39390,422,38304.0,664.0
577,Russia,42086,645,39983.0,1458.0
578,Russia,43983,686,41995.0,1302.0
579,Rwanda,28373,370,26341.0,1662.0
580,Saint Kitts and Nevis,155,0,61.0,94.0
581,Saint Lucia,5179,80,4984.0,115.0
582,Saint Vincent and the Grenadines,2156,12,1898.0,246.0
583,Samoa,3,0,3.0,0.0
584,San Marino,5090,90,4998.0,2.0
585,Sao Tome and Principe,2358,37,2307.0,14.0
586,Saudi Arabia,465797,7572,448093.0,10132.0
587,Senegal,41998,1154,40536.0,308.0
588,Serbia,714891,6962,0.0,707929.0
589,Seychelles,12973,46,11634.0,1293.0
590,Sierra Leone,4388,82,3181.0,1125.0
591,Singapore,62276,34,61869.0,373.0
592,Slovakia,391026,12439,255300.0,123287.0
593,Slovenia,256443,4404,249232.0,2807.0
594,Solomon Islands,20,0,20.0,0.0
595,Somalia,14817,774,7043.0,7000.0
596,South Africa,1747082,57765,1606581.0,82736.0
597,South Sudan,10688,115,10514.0,59.0
598,Spain,598947,9975,10671.0,578301.0
599,Spain,125490,3530,3772.0,118188.0
600,Spain,52979,1972,1063.0,49944.0
601,Spain,60884,840,1533.0,58511.0
602,Spain,396689,7404,9970.0,379315.0
603,Spain,57808,781,1537.0,55490.0
604,Spain,30588,566,2287.0,27735.0
605,Spain,194727,5977,6392.0,182358.0
606,Spain,233366,6904,8716.0,217746.0
607,Spain,629718,14691,26203.0,588824.0
608,Spain,5957,116,163.0,5678.0
609,Spain,76421,1805,2652.0,71964.0
610,Spain,127925,2415,9204.0,116306.0
611,Spain,31409,775,3107.0,27527.0
